"sku","barcode","name","description","client_owner_id","product_family","velocity_class","unit_cost","minimum_stock_level","maximum_stock_level","pick_down_to_level","supplier_lead_time_days","temperature_requirement","lot_tracked","batch_tracked","expiry_tracked","rotation_method","active"
"AJDC06803","DC0680399","Black Petite Appetizer Spoon 24/Pk 12Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","25.2","","","","","","","","","","true"
"AJDC0680300","DC0680300","Clear Petite Appetizer Spoon 24/Pk 12Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","25.2","","","","","","","","","","true"
"AJDC0680301","DC0680301","White Petite Appetizer Spoon 24/Pk 12Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","25.2","","","","","","","","","","true"
"AJDC0780100","DC0780100","Clear H-Lid Sandwich Wedge ( 6 X 2 X 3 ) 100/Pk 2Pks/Cs","","","Disposables : Containers","","23.54","","","","","","","","","","true"
"AJDC51075070","DC5107507000","Transparent 24oz Square Plastic Jar 96/Cs","","","Disposables : Bottles & Caps","","12.37","","","","","","","","","","true"
"AJDC51100089","DC5110008900","Transparent 32oz Square Plastic Jar 48/Cs","","","Disposables : Bottles & Caps","","15.58","","","","","","","","","","true"
"AJDC51150110","DC5115011000","Transparent 48oz Square Plastic Jar 48/Cs","","","Disposables : Bottles & Caps","","12.7","","","","","","","","","","true"
"AJDC51200110","DC5120011000","Transparent 64oz Square Plastic Jar 24/Cs","","","Disposables : Bottles & Caps","","7.73","","","","","","","","","","true"
"AJDC59070199","DC590701999TC1","Black Cap For Square 24oz Plastic Jar 96/Cs","","","Disposables : Bottles & Caps","","5.74","","","","","","","","","","true"
"AJDC59110173","DC591101730TC1","Red Cap For Square 48oz & 64oz Plastic Jar 24/Cs","","","Disposables : Bottles & Caps","","2.89","","","","","","","","","","true"
"AJDC59110175","DC591101752TC1","Dark Blue Cap For Square 48oz & 64oz Plastic Jar 24/Cs","","","Disposables : Bottles & Caps","","2.96","","","","","","","","","","true"
"AJDC59110179","DC591101799TC1","Black Cap For Square 48oz & 64oz Plastic Jar 24/Cs","","","Disposables : Bottles & Caps","","2.82","","","","","","","","","","true"
"AJDC59891530","DC59891530TC1","Red Cap For Square 32oz Plastic Jar 48/Cs","","","Disposables : Bottles & Caps","","5.07","","","","","","","","","","true"
"AJDC59891552","DC59891552TC1","Dark Blue Cap For Square 32oz Plastic Jar 48/Cs","","","Disposables : Bottles & Caps","","5.26","","","","","","","","","","true"
"AJDC59891599","DC59891599TC1","Black Cap For Square 32oz Plastic Jar 48/Cs","","","Disposables : Bottles & Caps","","4","","","","","","","","","","true"
"AJDD15171099","D15171099","6 X 4 Cake Container W/ Deep Black Base  50/Cs","","","Disposables : Containers","","12.84","","","","","","","","","","true"
"AJDD720VA100","D720VA100TA","Clear 1 Count H-Lid Cupcake Container 100/Pk 2Pks/Cs","","","Disposables : Containers","","11.54","","","","","","","","","","true"
"AJDD720VI20","D720VI200TB","Clear 2 Count H-Lid Flat Muffin Container  200/Cs","","","Disposables : Containers","","19.73","","","","","","","","","","true"
"AJDD720VI200","D720VI200TC","Clear 2 Count H-Lid Dome Cupcake Container    200/Cs","","","Disposables : Containers","","23","","","","","","","","","","true"
"AJDD950100","D950100","4 3/8"" Clear Spoon 20/Pk 50Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","14.18","","","","","","","","","","true"
"AJDDC0680400","DC0680400","Clear 1oz Petite Round Cup 24/Pk 12Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","12.46","","","","","","","","","","true"
"AJDDC0680500","DC0680500","Clear 1.5oz Petite Round Cup 24/Pk 12Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","25.2","","","","","","","","","","true"
"AJDDC0680600","DC0680600","Clear 3oz Petite Round Cup 12/Pk 12Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","12.6","","","","","","","","","","true"
"AJDDC0680700","DC0680700","Clear 6oz Petite Triangle Cup 12/Pk 12Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","32.6","","","","","","","","","","true"
"AJDDC0680799","DC0680799","Black 6oz Petite Triangle Cup 12/Pk 12Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","32.6","","","","","","","","","","true"
"AJDDC0710250","DC07102500","Mini Pack 8.5oz H-Lid Round Container - S 100/Pk 2Pks/Cs","","","Disposables : Containers","","17.08","","","","","","","","","","true"
"AJDDC0710350","DC07103500","Mini Pack 12oz H-Lid Round Container - M 100/Pk 2Pks/Cs","","","Disposables : Containers","","17.08","","","","","","","","","","true"
"AJDDC0710500","DC07105000","Mini Pack 13.5oz H-Lid Round Container - L 100/Pk 2Pks/Cs","","","Disposables : Containers","","19.63","","","","","","","","","","true"
"AJDDP450605","DP4506051699S","Pro To Go 16oz Reusable Container (6X5) 50/Pk 2Pks/Cs","","","Disposables : Containers","","13.93","","","","","","","","","","true"
"AJDDP4506051","DP4506051299S","Pro To Go 12oz Reusable Container (6X5) 50/Pk 2Pks/Cs","","","Disposables : Containers","","12.51","","","","","","","","","","true"
"AJDDP4508062","DP4508062499S","Pro To Go 24oz Reusable Container (8X6) 50/Pk 2Pks/Cs","","","Disposables : Containers","","21.14","","","","","","","","","","true"
"AJDP45080632","DP4508063299S","Pro To Go 32oz Reusable Container (8X6) 50/Pk 2Pks/Cs","","","Disposables : Containers","","24.28","","","","","","","","","","true"
"AJDP45100732","DP45100732399S","Pro To Go 3Comp Reusable Black Base Cont (7X10) 50/Pk 2Pks/Cs","","","Disposables : Containers","","29.69","","","","","","","","","","true"
"AJP3L01DB030","P3L01DB03002500800","Darnel 12"" X 2625' Shrink Film Center Fold (100 Gauge)","","","Film & Foil : Film","","60.5","","","","","","","","","","true"
"AJP3L01DB045","P3L01DB04502500800","Darnel 18"" X 2625' Shrink Film Center Fold (100 Gauge)","","","Film & Foil : Film","","88.17","","","","","","","","","","true"
"AJSA155-15-5","SA155-15-5000F","Darnel 15"" X 5000' Meat Film (55 Gauge)","","","Film & Foil : Film","","52.03","","","","","","","","","","true"
"AMS3020E","3020E","3lb Jimmies Bulk Sprinkles - Rainbow","","","Food Products","","6.84","","","","","","","","","","true"
"AMS3030","3030","25lb Jimmies Bulk Sprinkles - Chocolate","","","Food Products","","46.25","","","","","","","","","","true"
"AMS3030E","3030E","3lb Jimmies Bulk Sprinkles - Chocolate","","","Food Products","","7.17","","","","","","","","","","true"
"AMS3040","3040","25lb Jimmies Bulk Sprinkles - Blue","","","Food Products","","43.75","","","","","","","","","","true"
"AMS3040E","3040E","3lb Jimmies Bulk Sprinkles - Blue","","","Food Products","","6.84","","","","","","","","","","true"
"AMS3045","3045","25lb Jimmies Bulk Sprinkles - Green","","","Food Products","","43.75","","","","","","","","","","true"
"AMS3045E","3045E","3lb Jimmies Bulk Sprinkles - Green","","","Food Products","","6.84","","","","","","","","","","true"
"AMS3050","3050","25lb Jimmies Bulk Sprinkles - Lavender","","","Food Products","","43.75","","","","","","","","","","true"
"AMS3050E","3050E","3lb Jimmies Bulk Sprinkles - Lavender","","","Food Products","","6.84","","","","","","","","","","true"
"AMS3060","3060","25lb Jimmies Bulk Sprinkles - Orange","","","Food Products","","43.75","","","","","","","","","","true"
"AMS3060E","3060E","3lb Jimmies Bulk Sprinkles - Orange","","","Food Products","","6.84","","","","","","","","","","true"
"AMS3065","3065","25lb Jimmies Bulk Sprinkles - Pink","","","Food Products","","43.75","","","","","","","","","","true"
"AMS3065E","3065E","3lb Jimmies Bulk Sprinkles - Pink","","","Food Products","","6.84","","","","","","","","","","true"
"AMS3070","3070","25lb Jimmies Bulk Sprinkles - Red","","","Food Products","","43.75","","","","","","","","","","true"
"AMS3070E","3070E","3lb Jimmies Bulk Sprinkles - Red","","","Food Products","","6.84","","","","","","","","","","true"
"AMS3075","3075","25lb Jimmies Bulk Sprinkles - White","","","Food Products","","43.75","","","","","","","","","","true"
"AMS3075E","3075E","3lb Jimmies Bulk Sprinkles - White","","","Food Products","","6.84","","","","","","","","","","true"
"AMS3080","3080","25lb Jimmies Bulk Sprinkles - Yellow","","","Food Products","","43.75","","","","","","","","","","true"
"AMS3080E","3080E","3lb Jimmies Bulk Sprinkles - Yellow","","","Food Products","","6.84","","","","","","","","","","true"
"ARCSPARAPP16","SPARAPP16","Sparkle 16oz Disinfectant - Green Apple 24/Cs","","","Institutional Supplies : Cleaning Supplies","","8.98","","","","","","","","","","true"
"ARCSPARDWL75","SPARDWL75","Sparkle 750ml Dishwashing Liquid 20/Cs","","","Institutional Supplies : Cleaning Supplies","","14.3","","","","","","","","","","true"
"ARCSPARLAV16","SPARLAV16","Sparkle 16oz Disinfectant - Lavender 24/Cs","","","Institutional Supplies : Cleaning Supplies","","8.98","","","","","","","","","","true"
"ARCSPARLAV28","SPARLAV28","Sparkle 28oz Disinfectant - Lavender 24/Cs","","","Institutional Supplies : Cleaning Supplies","","14.26","","","","","","","","","","true"
"ARCSPARSBZ16","SPARSBZ16","Sparkle 16oz Disinfectant - Sea Breeze  24/Cs","","","Institutional Supplies : Cleaning Supplies","","8.16","","","","","","","","","","true"
"ARCSPARSBZ28","SPARSBZ28","Sparkle 28oz Disinfectant - Sea Breeze 24/Cs","","","Institutional Supplies : Cleaning Supplies","","14.26","","","","","","","","","","true"
"BMFGS110-IC4","MANUELITA 50KG","Refined Granulated Sugar   - 110lb","","","Food Products","","59.18","","","","","","","","","","true"
"CBC12DER","CBC12DER","Cove Bay 12oz PLA Rectangular Container  75/Pk 6Pks/Cs","","","Disposables : Containers","","23.24","","","","","","","","","","true"
"CBC24DER","CBC24DER","Cove Bay 24oz PLA Rectangular Container  100/Pk  6Pks/Cs","","","Disposables : Containers","","55.43","","","","","","","","","","true"
"CBC53PST1","CBC53PST1","Cove Bay 5"" Clear H-Lid PLA Container  250/Cs","","","Disposables : Containers","","36.15","","","","","","","","","","true"
"CBC57PST1","CBC57PST1","Cove Bay 6"" Clear H-Lid PLA Container  80/Pk  3Pks/Cs","","","Disposables : Containers","","34.25","","","","","","","","","","true"
"CBC6621C-25","SY-6125","Choice 6 X 6 Cornstarch Container   25/Pk 20Pks/Cs","","","Disposables : Containers","","27.39","","","","","","","","","","true"
"CBC8821-25","CBC8821-25","Choice 8 X 8 Cornstarch 1-Comp Container 25/Pk 8Pks/Cs","","","Disposables : Containers","","18.78","","","","","","","","","","true"
"CBC8823C-25","SY-8325","Choice 8 X 8 Cornstarch 3-Comp Container 25/Pk 8Pks/Cs","","","Disposables : Containers","","16","","","","","","","","","","true"
"CBC8DER","CBC8DER","Cove Bay 8oz PLA Rectangular Container  75/Pk  6Pks/Cs","","","Disposables : Containers","","20.79","","","","","","","","","","true"
"CBCC925-25","D-091","Choice 9"" Cornstarch Plate 25/Pk 20Pks/Cs","","","Disposables : Cups, Plates, Cutlery","","19.57","","","","","","","","","","true"
"CBCCGB48-25","LB-9525","Choice 4 X 8 Cornstarch Curry Goat Container 25/Pk 20Pks/Cs","","","Disposables : Containers","","29.35","","","","","","","","","","true"
